"Unique Name","Title","Resource URL title","Resource URL","Creator"
"linkedin-airservices-australia","Airservices Australia","Airservices Australia","https://www.linkedin.com/company/airservices-australia","Airservices Australia"
"twitter-airservice-australia","AirservicesAustralia","@AirservicesNews","https://twitter.com/AirservicesNews","Airservices Australia"
"youtube-airservices-tv","AirservicesTV","AirservicesTV","https://www.youtube.com/user/airservicestv","Airservices Australia"
"instagram-ais","AIS","@australian_institute_of_sport","https://www.instagram.com/australian_institute_of_sport/","Australian Sports Commission"
"youtube-aitsl-edu-au","AITSL","AITSL","https://www.youtube.com/user/aitsleduau/","Australian Institute for Teaching and School Leadership"
"facebook-aitsl","AITSL","AITSL","https://www.facebook.com/aitsl","Australian Institute for Teaching and School Leadership"
"twitter-aitsl","aitsl","@aitsl","https://twitter.com/aitsl","Australian Institute for Teaching and School Leadership"
"twitter-alrc","ALRC","@AusLawReform","https://twitter.com/AusLawReform","Australian Law Reform Commission"
"twitter-amsa-news","AMSA News","@AMSA_News","https://twitter.com/amsa_news","Australian Maritime Safety Authority"
"twitter-anbg","ANBG","@ANBG","https://twitter.com/ANBG","Australian National Botanic Gardens"
"blog-anmm-blog","ANMM Blog","ANMM Blog","http://www.anmm.gov.au/blog","Australian National Maritime Museum"
"linkedin-ansto","ANSTO","ANSTO","https://www.linkedin.com/company/ansto","Australian Nuclear Science and Technology Organisation"
"facebook-ansto","ANSTO","ANSTO","https://www.facebook.com/DiscoverANSTO","Australian Nuclear Science and Technology Organisation"
"twitter-ansto","ANSTO","@ANSTO","https://twitter.com/ANSTO","Australian Nuclear Science and Technology Organisation"
"youtube-ansto-videos","ANSTOVideos","ANSTOVideos","https://www.youtube.com/user/ANSTOVideos","Australian Nuclear Science and Technology Organisation"
"twitter-antarctic-division","Antarctic Division","@AusAntarctic","https://twitter.com/AusAntarctic","Australian Antarctic Division"
"blog-anti-doping-update","Anti-Doping Update ","Anti-Doping Update ","https://www.asada.gov.au/news-type/anti-doping-blog","Australian Sports Anti-Doping Authority"
"facebook-anzac-centenary","Anzac Centenary","Anzac Centenary","https://www.facebook.com/AnzacCentenary","Department of Veterans' Affairs"
"twitter-anzlic","ANZLIC","@ANZLIC","https://twitter.com/ANZLIC","ANZLIC – The Spatial Information Council"
"linkedin-apra","APRA","APRA","https://www.linkedin.com/company/apra","Australian Prudential Regulation Authority"
"twitter-apra","APRA","@APRAinfo","https://twitter.com/aprainfo","Australian Prudential Regulation Authority"
"facebook-apra-graduate-program","APRA Graduate Program","APRA Graduate Program","https://www.facebook.com/APRAGraduatePage","Australian Prudential Regulation Authority"
"twitter-aps-innovation","APS Innovation","@PSInnovate","https://twitter.com/PSInnovate","Department of Industry, Innovation and Science"
"twitter-apsc-news","APSC News","@APSCnews","https://twitter.com/APSCnews","Australian Public Service Commission"
